Assessment Name,Section,Question Number,Question Type,Max Marks,Attempt Rule,CO Code,Description
Mid Semester 1,Part A - Essay (Attempt 2 of 4),Q1,Essay,5,Attempt Any 2,CO1,"Descriptive/analytical question covering CO1"
Mid Semester 1,Part A - Essay (Attempt 2 of 4),Q2,Essay,5,Attempt Any 2,CO2,"Descriptive/analytical question covering CO2"
Mid Semester 1,Part A - Essay (Attempt 2 of 4),Q3,Essay,5,Attempt Any 2,CO3,"Descriptive/analytical question covering CO3"
Mid Semester 1,Part A - Essay (Attempt 2 of 4),Q4,Essay,5,Attempt Any 2,CO4,"Descriptive/analytical question covering CO4"
Mid Semester 1,Part B - Objective (10×0.5=5),O1,Objective,0.5,Mandatory,CO1,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O2,Objective,0.5,Mandatory,CO2,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O3,Objective,0.5,Mandatory,CO3,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O4,Objective,0.5,Mandatory,CO4,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O5,Objective,0.5,Mandatory,CO1,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O6,Objective,0.5,Mandatory,CO2,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O7,Objective,0.5,Mandatory,CO3,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O8,Objective,0.5,Mandatory,CO4,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O9,Objective,0.5,Mandatory,CO1,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part B - Objective (10×0.5=5),O10,Objective,0.5,Mandatory,CO2,"MCQ / Fill in the blanks / True-False"
Mid Semester 1,Part C - Assignment (1×5=5),A1,Assignment,5,Mandatory,CO3,"Assignment question covering higher-order thinking"
